import time: self [us] | cumulative | imported package
import time:       243 |        243 |       torch.onnx.symbolic_opset18
import time:       525 |      79046 |     torch.onnx
import time:       499 |        499 |     torch.linalg
import time:       404 |        404 |         urllib.response
import time:       493 |        897 |       urllib.error
import time:       519 |        519 |         email
import time:       915 |        915 |           http
import time:       632 |        632 |               email.errors
import time:       470 |        470 |                   email.quoprimime
import time:       418 |        418 |                   email.base64mime
import time:       469 |        469 |                       quopri
import time:       416 |        885 |                     email.encoders
import time:       448 |       1333 |                   email.charset
import time:       857 |       3075 |                 email.header
import time:      1109 |       1109 |                       locale
import time:       684 |       1792 |                     calendar
import time:       554 |       2346 |                   email._parseaddr
import time:       709 |       3054 |                 email.utils
import time:       611 |       6740 |               email._policybase
import time:       708 |       8079 |             email.feedparser
import time:       596 |       8674 |           email.parser
import time:       523 |        523 |             uu
import time:       521 |        521 |             email._encoded_words
import time:       392 |        392 |             email.iterators
import time:       712 |       2147 |           email.message
import time:      2408 |       2408 |             _ssl
import time:      2382 |       4790 |           ssl
import time:      1165 |      17689 |         http.client
import time:       522 |        522 |         nturl2path
import time:      1305 |      20034 |       urllib.request
import time:       449 |        449 |         tqdm._monitor
import time:       268 |        268 |         tqdm._tqdm_pandas
import time:       802 |        802 |               unicodedata
import time:       352 |        352 |                     colorama.ansi
import time:       889 |        889 |                         ctypes.wintypes
import time:       474 |       1362 |                       colorama.win32
import time:       320 |       1682 |                     colorama.winterm
import time:       781 |       2814 |                   colorama.ansitowin32
import time:       405 |       3219 |                 colorama.initialise
import time:       550 |       3768 |               colorama
import time:      1067 |       5636 |             tqdm.utils
import time:       928 |       6564 |           tqdm.std
import time:        70 |         70 |                 _csv
import time:       662 |        732 |               csv
import time:       379 |        379 |                   importlib.metadata._functools
import time:       440 |        818 |                 importlib.metadata._text
import time:      1094 |       1912 |               importlib.metadata._adapters
import time:       575 |        575 |               importlib.metadata._meta
import time:       478 |        478 |               importlib.metadata._collections
import time:       384 |        384 |               importlib.metadata._itertools
import time:       658 |        658 |               importlib.abc
import time:      1574 |       6310 |             importlib.metadata
import time:      3299 |       9609 |           tqdm.version
import time:       530 |      16702 |         tqdm.cli
import time:       361 |        361 |         tqdm.gui
import time:       563 |      18341 |       tqdm
import time:       882 |      40152 |     torch.hub
import time:       489 |        489 |         torch.distributions.constraints
import time:       313 |        313 |             torch.distributions.utils
import time:       448 |        761 |           torch.distributions.distribution
import time:       268 |       1028 |         torch.distributions.exp_family
import time:       497 |       2013 |       torch.distributions.bernoulli
import time:       318 |        318 |         torch.distributions.dirichlet
import time:       320 |        637 |       torch.distributions.beta
import time:       307 |        307 |       torch.distributions.binomial
import time:       307 |        307 |       torch.distributions.categorical
import time:       308 |        308 |       torch.distributions.cauchy
import time:       275 |        275 |         torch.distributions.gamma
import time:       262 |        536 |       torch.distributions.chi2
import time:       682 |        682 |         torch.distributions.transforms
import time:       328 |       1009 |       torch.distributions.constraint_registry
import time:       317 |        317 |       torch.distributions.continuous_bernoulli
import time:       324 |        324 |       torch.distributions.exponential
import time:       272 |        272 |       torch.distributions.fishersnedecor
import time:       267 |        267 |       torch.distributions.geometric
import time:       281 |        281 |         torch.distributions.uniform
import time:       270 |        270 |           torch.distributions.independent
import time:       290 |        560 |         torch.distributions.transformed_distribution
import time:       282 |       1122 |       torch.distributions.gumbel
import time:       289 |        289 |       torch.distributions.half_cauchy
import time:       276 |        276 |         torch.distributions.normal
import time:       269 |        544 |       torch.distributions.half_normal
import time:       267 |        267 |         torch.distributions.laplace
import time:       296 |        296 |           torch.distributions.multivariate_normal
import time:       296 |        592 |         torch.distributions.lowrank_multivariate_normal
import time:       290 |        290 |         torch.distributions.one_hot_categorical
import time:       284 |        284 |         torch.distributions.pareto
import time:       270 |        270 |         torch.distributions.poisson
import time:       573 |       2275 |       torch.distributions.kl
import time:       306 |        306 |       torch.distributions.kumaraswamy
import time:       282 |        282 |       torch.distributions.lkj_cholesky
import time:       278 |        278 |       torch.distributions.log_normal
import time:       248 |        248 |       torch.distributions.logistic_normal
import time:       287 |        287 |       torch.distributions.mixture_same_family
import time:       278 |        278 |       torch.distributions.multinomial
import time:       289 |        289 |       torch.distributions.negative_binomial
import time:       310 |        310 |       torch.distributions.relaxed_bernoulli
import time:       299 |        299 |       torch.distributions.relaxed_categorical
import time:       355 |        355 |       torch.distributions.studentT
import time:       311 |        311 |       torch.distributions.von_mises
import time:       298 |        298 |       torch.distributions.weibull
import time:       385 |        385 |       torch.distributions.wishart
import time:       683 |      15122 |     torch.distributions
import time:       511 |        511 |     torch.backends.cuda
import time:       299 |        299 |     torch.backends.mps
import time:       281 |        281 |     torch.backends.mkl
import time:       314 |        314 |     torch.backends.mkldnn
import time:       308 |        308 |     torch.backends.openmp
import time:       308 |        308 |     torch.backends.quantized
import time:       648 |        648 |       torch.utils.data.sampler
import time:       619 |        619 |       torch.utils.data.dataset
import time:       344 |        344 |                   torch.utils.data.datapipes._hook_iterator
import time:       428 |        771 |                 torch.utils.data.datapipes._typing
import time:       316 |        316 |                   torch.utils.data.datapipes.utils
import time:       672 |        672 |                           _queue
import time:       587 |       1258 |                         queue
import time:       267 |        267 |                         torch.utils.data._utils.signal_handling
import time:      1230 |       2754 |                       torch.utils.data._utils.worker
import time:       277 |        277 |                       torch.utils.data._utils.pin_memory
import time:       434 |        434 |                       torch.utils.data._utils.collate
import time:       266 |        266 |                       torch.utils.data._utils.fetch
import time:       357 |       4086 |                     torch.utils.data._utils
import time:       293 |        293 |                     dill
import time:       247 |       4625 |                   torch.utils.data._utils.serialization
import time:       579 |       5519 |                 torch.utils.data.datapipes.utils.common
import time:       295 |        295 |                 dill
import time:       629 |       7213 |               torch.utils.data.datapipes.datapipe
import time:       396 |       7608 |             torch.utils.data.datapipes.iter.utils
import time:       387 |        387 |               torch.utils.data.datapipes._decorator
import time:       253 |        253 |                     torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       264 |        517 |                   torch.utils.data.datapipes.dataframe.structures
import time:      1169 |       1686 |                 torch.utils.data.datapipes.dataframe.dataframes
import time:       451 |        451 |                 torch.utils.data.datapipes.dataframe.datapipes
import time:       309 |       2445 |               torch.utils.data.datapipes.dataframe
import time:       506 |       3337 |             torch.utils.data.datapipes.iter.callable
import time:       466 |        466 |             torch.utils.data.datapipes.iter.combinatorics
import time:       724 |        724 |             torch.utils.data.datapipes.iter.combining
import time:       394 |        394 |             torch.utils.data.datapipes.iter.filelister
import time:       346 |        346 |             torch.utils.data.datapipes.iter.fileopener
import time:       482 |        482 |               torch.utils.data.datapipes.iter.sharding
import time:       543 |       1025 |             torch.utils.data.datapipes.iter.grouping
import time:       322 |        322 |               torch.utils.data.datapipes.utils.decoder
import time:       372 |        693 |             torch.utils.data.datapipes.iter.routeddecoder
import time:       359 |        359 |             torch.utils.data.datapipes.iter.selecting
import time:       298 |        298 |             torch.utils.data.datapipes.iter.streamreader
import time:       532 |      15778 |           torch.utils.data.datapipes.iter
import time:       487 |        487 |             torch.utils.data.datapipes.map.callable
import time:       438 |        438 |             torch.utils.data.datapipes.map.combinatorics
import time:       492 |        492 |             torch.utils.data.datapipes.map.combining
import time:       376 |        376 |             torch.utils.data.datapipes.map.grouping
import time:       284 |        284 |             torch.utils.data.datapipes.map.utils
import time:       356 |       2431 |           torch.utils.data.datapipes.map
import time:       306 |      18515 |         torch.utils.data.datapipes
import time:        17 |      18532 |       torch.utils.data.datapipes.datapipe
import time:       355 |        355 |           torch.utils.data.graph
import time:       315 |        670 |         torch.utils.data.graph_settings
import time:       837 |       1506 |       torch.utils.data.dataloader
import time:       353 |        353 |       torch.utils.data.distributed
import time:       318 |      21972 |     torch.utils.data
import time:       274 |        274 |     torch.__config__
import time:       218 |        218 |     torch.__future__
import time:      1045 |       1045 |           torch.profiler._utils
import time:      2465 |       3510 |         torch.profiler._memory_profiler
import time:       765 |       4274 |       torch.profiler.profiler
import time:       297 |        297 |       torch.profiler.itt
import time:       372 |       4942 |     torch.profiler
import time:       312 |        312 |     torch.ao
import time:       437 |        437 |               torch.ao.nn
import time:       445 |        445 |                 torch.ao.nn.quantizable.modules.activation
import time:       376 |        376 |                 torch.ao.nn.quantizable.modules.rnn
import time:       388 |       1208 |               torch.ao.nn.quantizable.modules
import time:       377 |       2021 |             torch.ao.nn.quantizable
import time:        14 |       2035 |           torch.ao.nn.quantizable.modules
import time:        16 |       2051 |         torch.ao.nn.quantizable.modules.activation
import time:       383 |       2434 |       torch.nn.quantizable.modules
import time:       277 |       2710 |     torch.nn.quantizable
import time:       524 |        524 |                   torch.ao.nn.quantized.modules.activation
import time:       275 |        275 |                   torch.ao.nn.quantized.modules.dropout
import time:       625 |        625 |                         torch.ao.nn.intrinsic.modules.fused
import time:       507 |       1131 |                       torch.ao.nn.intrinsic.modules
import time:       305 |       1436 |                     torch.ao.nn.intrinsic
import time:       310 |       1746 |                   torch.ao.nn.quantized.modules.batchnorm
import time:       356 |        356 |                   torch.ao.nn.quantized.modules.normalization
import time:       377 |        377 |                               torch.ao.nn.qat.modules.linear
import time:       412 |        412 |                               torch.ao.nn.qat.modules.conv
import time:       298 |        298 |                               torch.ao.nn.qat.modules.embedding_ops
import time:       437 |       1523 |                             torch.ao.nn.qat.modules
import time:       283 |       1805 |                           torch.ao.nn.qat
import time:       403 |       2208 |                         torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:       304 |        304 |                         torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       459 |        459 |                         torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:       529 |       3499 |                       torch.ao.nn.intrinsic.qat.modules
import time:       330 |       3829 |                     torch.ao.nn.intrinsic.qat
import time:       298 |        298 |                     torch.ao.nn.quantized.modules.utils
import time:       626 |       4752 |                   torch.ao.nn.quantized.modules.conv
import time:       404 |        404 |                   torch.ao.nn.quantized.modules.linear
import time:       394 |        394 |                   torch.ao.nn.quantized.modules.embedding_ops
import time:       365 |        365 |                   torch.ao.nn.quantized.modules.rnn
import time:       352 |        352 |                   torch.ao.nn.quantized.modules.functional_modules
import time:       426 |       9589 |                 torch.ao.nn.quantized.modules
import time:        18 |       9606 |               torch.ao.nn.quantized.modules.utils
import time:       413 |      10019 |             torch.ao.nn.quantized.functional
import time:       294 |      10313 |           torch.ao.nn.quantized
import time:       428 |        428 |             torch.ao.nn.quantized.dynamic.modules.linear
import time:       610 |        610 |             torch.ao.nn.quantized.dynamic.modules.rnn
import time:       448 |        448 |             torch.ao.nn.quantized.dynamic.modules.conv
import time:       487 |       1972 |           torch.ao.nn.quantized.dynamic.modules
import time:       314 |      12597 |         torch.ao.nn.quantized.dynamic
import time:       387 |      12984 |       torch.nn.quantized.dynamic
import time:       270 |        270 |       torch.nn.quantized.functional
import time:       340 |        340 |       torch.nn.quantized.modules
import time:       344 |      13936 |     torch.nn.quantized
import time:       443 |        443 |                     torch.ao.nn.qat.dynamic.modules.linear
import time:       429 |        872 |                   torch.ao.nn.qat.dynamic.modules
import time:       272 |       1143 |                 torch.ao.nn.qat.dynamic
import time:        14 |       1156 |               torch.ao.nn.qat.dynamic.modules
import time:        17 |       1173 |             torch.ao.nn.qat.dynamic.modules.linear
import time:       432 |       1605 |           torch.nn.qat.dynamic.modules.linear
import time:       499 |       2103 |         torch.nn.qat.dynamic.modules
import time:       525 |       2628 |       torch.nn.qat.dynamic
import time:       406 |        406 |         torch.nn.qat.modules.conv
import time:       383 |        383 |         torch.nn.qat.modules.embedding_ops
import time:       355 |        355 |         torch.nn.qat.modules.linear
import time:       378 |       1520 |       torch.nn.qat.modules
import time:       314 |       4461 |     torch.nn.qat
import time:       456 |        456 |         torch.nn.intrinsic.modules.fused
import time:       514 |        969 |       torch.nn.intrinsic.modules
import time:       370 |        370 |           torch.nn.intrinsic.qat.modules.linear_relu
import time:       231 |        231 |           torch.nn.intrinsic.qat.modules.linear_fused
import time:       274 |        274 |           torch.nn.intrinsic.qat.modules.conv_fused
import time:       448 |       1323 |         torch.nn.intrinsic.qat.modules
import time:       294 |       1616 |       torch.nn.intrinsic.qat
import time:       578 |        578 |                 torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       401 |        401 |                 torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       301 |        301 |                 torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       324 |        324 |                 torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       640 |       2241 |               torch.ao.nn.intrinsic.quantized.modules
import time:       319 |       2560 |             torch.ao.nn.intrinsic.quantized
import time:       421 |       2980 |           torch.nn.intrinsic.quantized.modules.linear_relu
import time:       255 |        255 |           torch.nn.intrinsic.quantized.modules.conv_relu
import time:       235 |        235 |           torch.nn.intrinsic.quantized.modules.bn_relu
import time:       537 |       4006 |         torch.nn.intrinsic.quantized.modules
import time:       427 |        427 |                   torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       430 |        857 |                 torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       282 |       1138 |               torch.ao.nn.intrinsic.quantized.dynamic
import time:       369 |       1507 |             torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       429 |       1936 |           torch.nn.intrinsic.quantized.dynamic.modules
import time:       286 |       2221 |         torch.nn.intrinsic.quantized.dynamic
import time:       348 |       6574 |       torch.nn.intrinsic.quantized
import time:       513 |       9671 |     torch.nn.intrinsic
import time:      1002 |       1002 |     torch._tensor_docs
import time:       332 |        332 |     torch._storage_docs
import time:       352 |        352 |                   torch.ao.quantization.quant_type
import time:       293 |        293 |                           torch.fx._compatibility
import time:       298 |        298 |                           torch.fx.immutable_collections
import time:       785 |        785 |                           torch.fx.operator_schemas
import time:      6632 |       8006 |                         torch.fx.node
import time:       400 |        400 |                         torch.fx._pytree
import time:      1737 |      10142 |                       torch.fx.graph
import time:       733 |      10875 |                     torch.fx.graph_module
import time:       323 |        323 |                         torch.fx.traceback
import time:       948 |       1271 |                       torch.fx.proxy
import time:      1153 |       2424 |                     torch.fx._symbolic_trace
import time:       241 |        241 |                       torch.fx.config
import time:       800 |       1041 |                     torch.fx.interpreter
import time:       981 |        981 |                     torch.fx.subgraph_rewriter
import time:       342 |      15661 |                   torch.fx
import time:       573 |      16585 |                 torch.ao.quantization.utils
import time:      1284 |      17868 |               torch.ao.quantization.observer
import time:       570 |      18437 |             torch.ao.quantization.fake_quantize
import time:       368 |        368 |               torch.ao.quantization.fuser_method_mappings
import time:       316 |        684 |             torch.ao.quantization.fuse_modules
import time:       588 |        588 |             torch.ao.quantization.qconfig
import time:       333 |        333 |             torch.ao.quantization.qconfig_mapping
import time:       285 |        285 |                     torch.ao.nn.quantized.reference.modules.utils
import time:       446 |        730 |                   torch.ao.nn.quantized.reference.modules.linear
import time:       495 |        495 |                   torch.ao.nn.quantized.reference.modules.conv
import time:       437 |        437 |                   torch.ao.nn.quantized.reference.modules.rnn
import time:       343 |        343 |                   torch.ao.nn.quantized.reference.modules.sparse
import time:       459 |       2463 |                 torch.ao.nn.quantized.reference.modules
import time:       365 |       2827 |               torch.ao.nn.quantized.reference
import time:       321 |        321 |                       torch.ao.nn.sparse.quantized.linear
import time:       261 |        261 |                       torch.ao.nn.sparse.quantized.utils
import time:       423 |       1004 |                     torch.ao.nn.sparse.quantized.dynamic.linear
import time:       380 |       1384 |                   torch.ao.nn.sparse.quantized.dynamic
import time:       437 |       1820 |                 torch.ao.nn.sparse.quantized
import time:       322 |       2142 |               torch.ao.nn.sparse
import time:       326 |        326 |               torch.ao.quantization.stubs
import time:       620 |       5914 |             torch.ao.quantization.quantization_mappings
import time:       429 |        429 |             torch.ao.quantization.quantize
import time:       341 |        341 |             torch.ao.quantization.quantize_jit
import time:       419 |      27142 |           torch.ao.quantization
import time:        20 |      27162 |         torch.ao.quantization.quantize
import time:       458 |      27619 |       torch.quantization.quantize
import time:       371 |        371 |       torch.quantization.observer
import time:       320 |        320 |       torch.quantization.qconfig
import time:       227 |        227 |       torch.quantization.fake_quantize
import time:       242 |        242 |       torch.quantization.fuse_modules
import time:       228 |        228 |       torch.quantization.stubs
import time:       214 |        214 |       torch.quantization.quant_type
import time:       224 |        224 |       torch.quantization.quantize_jit
import time:       229 |        229 |       torch.quantization.quantization_mappings
import time:       256 |        256 |       torch.quantization.fuser_method_mappings
import time:       459 |      30386 |     torch.quantization
import time:       290 |        290 |     torch.quasirandom
import time:       263 |        263 |     torch.multiprocessing._atfork
import time:       542 |        542 |     torch._lobpcg
import time:       345 |        345 |             torch.masked.maskedtensor.core
import time:      1666 |       2011 |           torch.masked.maskedtensor.binary
import time:       504 |        504 |           torch.masked.maskedtensor.passthrough
import time:       292 |        292 |             torch.masked.maskedtensor.creation
import time:       630 |        922 |           torch.masked.maskedtensor.reductions
import time:      1781 |       1781 |           torch.masked.maskedtensor.unary
import time:       483 |       5698 |         torch.masked.maskedtensor
import time:        19 |       5717 |       torch.masked.maskedtensor.core
import time:       266 |        266 |         torch.masked._docs
import time:       563 |        828 |       torch.masked._ops
import time:       322 |       6866 |     torch.masked
import time:       543 |        543 |     torch.return_types
import time:       348 |        348 |     torch.library
import time:       373 |        373 |           nvfuser
import time:        22 |        395 |         nvfuser._C
import time:       954 |       1348 |       torch._prims_common
import time:       619 |        619 |               torch._prims_common.wrappers
import time:       391 |        391 |                 nvfuser
import time:        28 |        418 |               nvfuser._C
import time:       268 |        268 |                 nvfuser
import time:        20 |        288 |               nvfuser._C
import time:       250 |        250 |                 nvfuser
import time:        18 |        268 |               nvfuser._C
import time:       324 |        324 |                 nvfuser
import time:        18 |        342 |               nvfuser._C
import time:       247 |        247 |                 nvfuser
import time:        17 |        263 |               nvfuser._C
import time:       257 |        257 |                 nvfuser
import time:        17 |        273 |               nvfuser._C
import time:       244 |        244 |                 nvfuser
import time:        38 |        282 |               nvfuser._C
import time:       324 |        324 |                 nvfuser
import time:        18 |        342 |               nvfuser._C
import time:       321 |        321 |                 nvfuser
import time:        19 |        339 |               nvfuser._C
import time:       263 |        263 |                 nvfuser
import time:        17 |        279 |               nvfuser._C
import time:       292 |        292 |                 nvfuser
import time:        17 |        308 |               nvfuser._C
import time:       243 |        243 |                 nvfuser
import time:        17 |        259 |               nvfuser._C
import time:       275 |        275 |                 nvfuser
import time:        27 |        301 |               nvfuser._C
import time:       291 |        291 |                 nvfuser
import time:        20 |        310 |               nvfuser._C
import time:       309 |        309 |                 nvfuser
import time:        19 |        328 |               nvfuser._C
import time:       266 |        266 |                 nvfuser
import time:        19 |        285 |               nvfuser._C
import time:       311 |        311 |                 nvfuser
import time:        19 |        329 |               nvfuser._C
import time:       255 |        255 |                 nvfuser
import time:        18 |        272 |               nvfuser._C
import time:       262 |        262 |                 nvfuser
import time:        18 |        280 |               nvfuser._C
import time:       267 |        267 |                 nvfuser
import time:        18 |        285 |               nvfuser._C
import time:       278 |        278 |                 nvfuser
import time:        18 |        295 |               nvfuser._C
import time:       264 |        264 |                 nvfuser
import time:        18 |        281 |               nvfuser._C
import time:       284 |        284 |                 nvfuser
import time:        18 |        302 |               nvfuser._C
import time:       271 |        271 |                 nvfuser
import time:        19 |        289 |               nvfuser._C
import time:       317 |        317 |                 nvfuser
import time:        18 |        334 |               nvfuser._C
import time:       262 |        262 |                 nvfuser
import time:        24 |        285 |               nvfuser._C
import time:       248 |        248 |                 nvfuser
import time:        17 |        265 |               nvfuser._C
import time:       248 |        248 |                 nvfuser
import time:        17 |        265 |               nvfuser._C
import time:       259 |        259 |                 nvfuser
import time:        17 |        276 |               nvfuser._C
import time:       272 |        272 |                 nvfuser
import time:        17 |        289 |               nvfuser._C
import time:       242 |        242 |                 nvfuser
import time:        17 |        259 |               nvfuser._C
import time:       266 |        266 |                 nvfuser
import time:        18 |        284 |               nvfuser._C
import time:       248 |        248 |                 nvfuser
import time:        17 |        265 |               nvfuser._C
import time:       291 |        291 |                 nvfuser
import time:        17 |        308 |               nvfuser._C
import time:       242 |        242 |                 nvfuser
import time:        17 |        258 |               nvfuser._C
import time:       296 |        296 |                 nvfuser
import time:        17 |        313 |               nvfuser._C
import time:       274 |        274 |                 nvfuser
import time:        35 |        309 |               nvfuser._C
import time:       284 |        284 |                 nvfuser
import time:        18 |        301 |               nvfuser._C
import time:       249 |        249 |                 nvfuser
import time:        17 |        265 |               nvfuser._C
import time:       249 |        249 |                 nvfuser
import time:        20 |        269 |               nvfuser._C
import time:       264 |        264 |                 nvfuser
import time:        18 |        282 |               nvfuser._C
import time:       250 |        250 |                 nvfuser
import time:        18 |        267 |               nvfuser._C
import time:       260 |        260 |                 nvfuser
import time:        18 |        278 |               nvfuser._C
import time:       256 |        256 |                 nvfuser
import time:        18 |        273 |               nvfuser._C
import time:       243 |        243 |                 nvfuser
import time:        18 |        260 |               nvfuser._C
import time:       305 |        305 |                 nvfuser
import time:        17 |        321 |               nvfuser._C
import time:       307 |        307 |                 nvfuser
import time:        18 |        325 |               nvfuser._C
import time:       322 |        322 |                 nvfuser
import time:        18 |        340 |               nvfuser._C
import time:       274 |        274 |                 nvfuser
import time:        17 |        290 |               nvfuser._C
import time:       276 |        276 |                 nvfuser
import time:        17 |        293 |               nvfuser._C
import time:       280 |        280 |                 nvfuser
import time:        18 |        298 |               nvfuser._C
import time:      3450 |      19038 |             torch._prims.nvfuser_prims
import time:       416 |        416 |                         mpmath.usertools
import time:       353 |        353 |                                     gmpy2
import time:       332 |        332 |                                     gmpy
import time:       462 |       1146 |                                   mpmath.libmp.backend
import time:       557 |        557 |                                   mpmath.libmp.libintmath
import time:       795 |       2498 |                                 mpmath.libmp.libmpf
import time:       430 |        430 |                                   mpmath.libmp.libelefun
import time:       395 |        825 |                                 mpmath.libmp.libmpc
import time:       794 |        794 |                                   mpmath.libmp.gammazeta
import time:       383 |       1177 |                                 mpmath.libmp.libhyper
import time:       352 |        352 |                                 mpmath.libmp.libmpi
import time:       510 |       5360 |                               mpmath.libmp
import time:        21 |       5380 |                             mpmath.libmp.backend
import time:       618 |        618 |                                 mpmath.functions.functions
import time:       272 |        272 |                                 mpmath.functions.factorials
import time:       436 |        436 |                                 mpmath.functions.hypergeometric
import time:       295 |        295 |                                 mpmath.functions.expintegrals
import time:       407 |        407 |                                 mpmath.functions.bessel
import time:       317 |        317 |                                 mpmath.functions.orthogonal
import time:       306 |        306 |                                 mpmath.functions.theta
import time:       411 |        411 |                                 mpmath.functions.elliptic
import time:       252 |        252 |                                 mpmath.functions.signals
import time:       393 |        393 |                                 mpmath.functions.zeta
import time:       332 |        332 |                                 mpmath.functions.rszeta
import time:       341 |        341 |                                 mpmath.functions.zetazeros
import time:       259 |        259 |                                 mpmath.functions.qfunctions
import time:       531 |       5164 |                               mpmath.functions
import time:        17 |       5180 |                             mpmath.functions.functions
import time:       429 |        429 |                                 mpmath.calculus.calculus
import time:       253 |        253 |                                 mpmath.calculus.approximation
import time:       332 |        332 |                                 mpmath.calculus.differentiation
import time:       398 |        398 |                                 mpmath.calculus.extrapolation
import time:       246 |        246 |                                 mpmath.calculus.polynomials
import time:       413 |       2069 |                               mpmath.calculus
import time:       341 |       2410 |                             mpmath.calculus.quadrature
import time:       361 |        361 |                             mpmath.calculus.inverselaplace
import time:       675 |        675 |                             mpmath.calculus.optimization
import time:       284 |        284 |                             mpmath.calculus.odes
import time:       414 |        414 |                                 mpmath.matrices.eigen
import time:       302 |        302 |                                 mpmath.matrices.eigen_symmetric
import time:       319 |       1035 |                               mpmath.matrices
import time:       359 |       1393 |                             mpmath.matrices.matrices
import time:       269 |        269 |                             mpmath.matrices.calculus
import time:       315 |        315 |                             mpmath.matrices.linalg
import time:       401 |        401 |                             mpmath.identification
import time:       574 |        574 |                               colorsys
import time:       335 |        908 |                             mpmath.visualization
import time:       516 |      18088 |                           mpmath.ctx_base
import time:       372 |        372 |                           mpmath.math2
import time:       486 |        486 |                           mpmath.function_docs
import time:       414 |      19358 |                         mpmath.ctx_fp
import time:       427 |        427 |                           mpmath.rational
import time:      1819 |       1819 |                           mpmath.ctx_mp_python
import time:       877 |       3122 |                         mpmath.ctx_mp
import time:       502 |        502 |                         mpmath.ctx_iv
import time:      1534 |      24930 |                       mpmath
import time:       448 |        448 |                       sympy.release
import time:       405 |        405 |                                     sympy.utilities.enumerative
import time:       312 |        312 |                                     sympy.utilities.misc
import time:       289 |        289 |                                       sympy.utilities.exceptions
import time:       307 |        596 |                                     sympy.utilities.decorator
import time:       641 |       1953 |                                   sympy.utilities.iterables
import time:       540 |        540 |                                       sympy.external.importtools
import time:       359 |        899 |                                     sympy.external
import time:       562 |       1460 |                                   sympy.utilities.lambdify
import time:       654 |        654 |                                     timeit
import time:       264 |        918 |                                   sympy.utilities.timeutils
import time:       367 |       4696 |                                 sympy.utilities
import time:        50 |       4746 |                               sympy.utilities.iterables
import time:       378 |       5124 |                             sympy.core.random
import time:       293 |        293 |                               sympy.core.cache
import time:       353 |        645 |                             sympy.core.parameters
import time:       490 |        490 |                                   sympy.core.logic
import time:       459 |        948 |                                 sympy.core.facts
import time:       532 |        532 |                                 sympy.core.assumptions_generated
import time:       548 |       2028 |                               sympy.core.assumptions
import time:       320 |        320 |                               sympy.core.sorting
import time:       268 |        268 |                                           sympy.multipledispatch.utils
import time:       281 |        549 |                                         sympy.multipledispatch.conflict
import time:       399 |        947 |                                       sympy.multipledispatch.dispatcher
import time:       405 |       1352 |                                     sympy.multipledispatch.core
import time:       314 |       1665 |                                   sympy.multipledispatch
import time:        19 |       1683 |                                 sympy.multipledispatch.dispatcher
import time:       353 |       2036 |                               sympy.core.kind
import time:       275 |        275 |                               sympy.core._print_helpers
import time:       274 |        274 |                                 sympy.core.core
import time:       344 |        618 |                               sympy.core.singleton
import time:       281 |        281 |                               sympy.core.traversal
import time:       906 |       6460 |                             sympy.core.basic
import time:       548 |      12776 |                           sympy.core.sympify
import time:      1063 |       1063 |                                     _decimal
import time:       624 |       1686 |                                   decimal
import time:       972 |        972 |                                   fractions
import time:       404 |       3061 |                                 sympy.external.pythonmpq
import time:       306 |        306 |                                 sympy.external.ntheory
import time:       280 |        280 |                                 flint
import time:       259 |        259 |                                 gmpy2
import time:       354 |       4258 |                               sympy.external.gmpy
import time:       604 |       4861 |                             sympy.core.evalf
import time:       280 |        280 |                             sympy.core.decorators
import time:       262 |        262 |                             sympy.core.intfunc
import time:       661 |        661 |                               sympy.core.operations
import time:       558 |        558 |                                 sympy.core.containers
import time:       617 |        617 |                                     sympy.core.add
import time:       262 |        262 |                                     sympy.core.rules
import time:      1970 |       1970 |                                           sympy.logic.boolalg
import time:       322 |        322 |                                           sympy.logic.inference
import time:       330 |       2621 |                                         sympy.logic
import time:        20 |       2640 |                                       sympy.logic.boolalg
import time:       905 |       3545 |                                     sympy.core.symbol
import time:      1387 |       5810 |                                   sympy.core.function
import time:       300 |        300 |                                     sympy.core.coreerrors
import time:      1597 |       1897 |                                   sympy.core.relational
import time:       813 |       8519 |                                 sympy.core.power
import time:      3399 |      12475 |                               sympy.core.numbers
import time:       848 |      13983 |                             sympy.core.mul
import time:       521 |        521 |                               sympy.core.exprtools
import time:       389 |        910 |                             sympy.core.mod
import time:      1532 |      21825 |                           sympy.core.expr
import time:       280 |        280 |                           sympy.core.multidimensional
import time:       442 |      35322 |                         sympy.core
import time:        19 |      35340 |                       sympy.core.cache
import time:       248 |        248 |                           sympy.utilities.source
import time:       745 |        993 |                         sympy.assumptions.assume
import time:       587 |        587 |                           sympy.assumptions.cnf
import time:       375 |        375 |                           sympy.assumptions.ask_generated
import time:       527 |       1487 |                         sympy.assumptions.ask
import time:       317 |        317 |                         sympy.assumptions.refine
import time:       633 |        633 |                           sympy.assumptions.relation.binrel
import time:       310 |        942 |                         sympy.assumptions.relation
import time:       306 |       4043 |                       sympy.assumptions
