import time: self [us] | cumulative | imported package
import time:       379 |        724 |                     numpy.lib.twodim_base
import time:       536 |        536 |                     numpy.linalg._umath_linalg
import time:       488 |        488 |                       __future__
import time:       448 |        448 |                       numpy._typing._nested_sequence
import time:       249 |        249 |                       numpy._typing._nbit
import time:       822 |        822 |                       numpy._typing._char_codes
import time:       602 |        602 |                       numpy._typing._scalars
import time:       252 |        252 |                       numpy._typing._shape
import time:      1001 |       1001 |                       numpy._typing._dtype_like
import time:      1262 |       1262 |                       numpy._typing._array_like
import time:       483 |       5604 |                     numpy._typing
import time:      1151 |       8014 |                   numpy.linalg.linalg
import time:       319 |       8332 |                 numpy.linalg
import time:       509 |       8841 |               numpy.matrixlib.defmatrix
import time:       301 |       9142 |             numpy.matrixlib
import time:       346 |        346 |               numpy.lib.histograms
import time:       795 |       1141 |             numpy.lib.function_base
import time:       431 |      10712 |           numpy.lib.index_tricks
import time:       529 |        529 |           numpy.lib.nanfunctions
import time:       394 |        394 |           numpy.lib.shape_base
import time:       516 |        516 |           numpy.lib.polynomial
import time:       599 |        599 |           numpy.lib.utils
import time:       393 |        393 |           numpy.lib.arraysetops
import time:       309 |        309 |             numpy.lib.format
import time:       338 |        338 |             numpy.lib._datasource
import time:       486 |        486 |             numpy.lib._iotools
import time:       585 |       1716 |           numpy.lib.npyio
import time:       276 |        276 |           numpy.lib.arrayterator
import time:       341 |        341 |           numpy.lib.arraypad
import time:       261 |        261 |           numpy.lib._version
import time:       641 |      17889 |         numpy.lib
import time:       370 |        370 |             numpy.fft._pocketfft_internal
import time:       634 |       1003 |           numpy.fft._pocketfft
import time:       306 |        306 |           numpy.fft.helper
import time:       300 |       1608 |         numpy.fft
import time:       348 |        348 |             numpy.polynomial.polyutils
import time:       462 |        462 |             numpy.polynomial._polybase
import time:       571 |       1380 |           numpy.polynomial.polynomial
import time:       391 |        391 |           numpy.polynomial.chebyshev
import time:       405 |        405 |           numpy.polynomial.legendre
import time:       342 |        342 |           numpy.polynomial.hermite
import time:       361 |        361 |           numpy.polynomial.hermite_e
import time:       341 |        341 |           numpy.polynomial.laguerre
import time:       356 |       3574 |         numpy.polynomial
import time:       307 |        307 |                   backports_abc
import time:       610 |        917 |                 numpy.random._common
import time:        90 |         90 |                     binascii
import time:       568 |        657 |                   base64
import time:      1188 |       1188 |                     _hashlib
import time:        42 |         42 |                       _blake2
import time:       529 |        571 |                     hashlib
import time:       523 |       2281 |                   hmac
import time:       471 |       3408 |                 secrets
import time:       951 |       5275 |               numpy.random.bit_generator
import time:       324 |        324 |               numpy.random._bounded_integers
import time:       349 |        349 |               numpy.random._mt19937
import time:      1051 |       6997 |             numpy.random.mtrand
